Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:44,T1,T2,1.4ft,0.06s
4.17.2026 14:54:44,T1,T2,1.4ft,0.05s
4.17.2026 14:54:45,T1,T2,1.4ft,0.05s
4.17.2026 14:54:45,T1,T2,1.4ft,0.05s
4.17.2026 14:54:45,T1,T2,1.4ft,0.06s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.6ft,0.05s
4.17.2026 14:54:45,T1,T2,1.6ft,0.05s
4.17.2026 14:54:45,T1,T2,1.6ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.5ft,0.05s
4.17.2026 14:54:45,T1,T2,1.4ft,0.05s
4.17.2026 14:54:45,T1,T2,1.4ft,0.05s
4.17.2026 14:54:45,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.5ft,0.05s
4.17.2026 14:54:46,T1,T2,1.5ft,0.05s
4.17.2026 14:54:46,T1,T2,1.5ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.4ft,0.05s
4.17.2026 14:54:46,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T1,T2,1.6ft,0.05s
4.17.2026 14:54:47,T1,T2,1.6ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.3ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.3ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.3ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.3ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.4ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.4ft,0.05s
4.17.2026 14:54:47,T1,T2,1.5ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.5ft,0.05s
4.17.2026 14:54:47,T1,T2,1.6ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.6ft,0.05s
4.17.2026 14:54:47,T1,T2,1.6ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.6ft,0.05s
4.17.2026 14:54:47,T1,T2,1.6ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.7ft,0.05s
4.17.2026 14:54:47,T1,T2,1.7ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.7ft,0.05s
4.17.2026 14:54:47,T1,T2,1.7ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.7ft,0.05s
4.17.2026 14:54:47,T1,T2,1.7ft,0.05s
4.17.2026 14:54:47,T0,T1,2.0ft,0.05s
4.17.2026 14:54:47,T0,T2,2.7ft,0.05s
4.17.2026 14:54:47,T1,T2,1.7ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.7ft,0.05s
4.17.2026 14:54:48,T1,T2,1.7ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.6ft,0.05s
4.17.2026 14:54:48,T1,T2,1.7ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.6ft,0.05s
4.17.2026 14:54:48,T1,T2,1.6ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.5ft,0.05s
4.17.2026 14:54:48,T1,T2,1.6ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.4ft,0.05s
4.17.2026 14:54:48,T1,T2,1.6ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.4ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.2ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.4ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.1ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.1ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.1ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:48,T0,T1,2.0ft,0.05s
4.17.2026 14:54:48,T0,T2,2.3ft,0.05s
4.17.2026 14:54:48,T1,T2,1.5ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.5ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.5ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.5ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.2ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:49,T0,T1,2.0ft,0.05s
4.17.2026 14:54:49,T0,T2,2.1ft,0.05s
4.17.2026 14:54:49,T1,T2,1.4ft,0.05s
4.17.2026 14:54:50,T0,T1,2.0ft,0.05s
4.17.2026 14:54:50,T0,T2,2.1ft,0.05s
4.17.2026 14:54:50,T1,T2,1.4ft,0.05s
4.17.2026 14:54:50,T0,T1,2.0ft,0.05s
4.17.2026 14:54:50,T0,T2,2.1ft,0.05s
