Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.06s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:10,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.06s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.06s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:11,T0,T1,4.2ft,0.05s
4.19.2026 11:44:12,T0,T1,4.2ft,0.05s
4.19.2026 11:44:12,T0,T1,4.2ft,0.05s
4.19.2026 11:44:12,T0,T1,4.2ft,0.05s
4.19.2026 11:44:12,T0,T1,4.2ft,0.05s
4.19.2026 11:44:12,T0,T1,4.2ft,0.05s
4.19.2026 11:44:12,T0,T1,4.2ft,0.05s
4.19.2026 11:44:12,T0,T1,4.2ft,0.05s
