Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.22.2026 21:15:43,T0,T1,3.5ft,0.04s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.06s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:43,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:44,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:45,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:46,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:47,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:48,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
4.22.2026 21:15:49,T0,T1,3.5ft,0.05s
