Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.24.2026 21:11:22,T0,T1,6.6ft,0.05s
4.24.2026 21:11:22,T0,T1,6.7ft,0.05s
4.24.2026 21:11:22,T0,T1,6.8ft,0.05s
4.24.2026 21:11:22,T0,T1,6.7ft,0.05s
4.24.2026 21:11:22,T0,T1,6.7ft,0.05s
4.24.2026 21:11:22,T0,T1,6.7ft,0.05s
4.24.2026 21:11:22,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.8ft,0.05s
4.24.2026 21:11:23,T0,T1,6.8ft,0.05s
4.24.2026 21:11:23,T0,T1,6.9ft,0.05s
4.24.2026 21:11:23,T0,T1,6.9ft,0.05s
4.24.2026 21:11:23,T0,T1,6.8ft,0.05s
4.24.2026 21:11:23,T0,T1,6.8ft,0.05s
4.24.2026 21:11:23,T0,T1,6.8ft,0.05s
4.24.2026 21:11:23,T0,T1,6.8ft,0.05s
4.24.2026 21:11:23,T0,T1,6.8ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:23,T0,T1,6.7ft,0.05s
4.24.2026 21:11:24,T0,T1,6.7ft,0.05s
4.24.2026 21:11:24,T0,T1,6.7ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.9ft,0.05s
4.24.2026 21:11:24,T0,T1,7.0ft,0.05s
4.24.2026 21:11:24,T0,T1,7.0ft,0.05s
4.24.2026 21:11:24,T0,T1,6.9ft,0.05s
4.24.2026 21:11:24,T0,T1,6.9ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.05s
4.24.2026 21:11:24,T0,T1,6.8ft,0.06s
4.24.2026 21:11:24,T0,T1,6.7ft,0.05s
4.24.2026 21:11:24,T0,T1,6.7ft,0.05s
4.24.2026 21:11:24,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.06s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.8ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:25,T0,T1,6.7ft,0.05s
4.24.2026 21:11:26,T0,T1,6.8ft,0.05s
4.24.2026 21:11:26,T0,T1,6.8ft,0.05s
4.24.2026 21:11:26,T0,T1,6.8ft,0.05s
4.24.2026 21:11:26,T0,T1,6.8ft,0.05s
4.24.2026 21:11:26,T0,T1,6.7ft,0.05s
4.24.2026 21:11:26,T0,T1,6.7ft,0.05s
4.24.2026 21:11:26,T0,T1,6.7ft,0.05s
