Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.06s
4.19.2026 15:34:43,T0,T1,2.8ft,0.08s
4.19.2026 15:34:43,T0,T1,2.8ft,0.06s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.06s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.06s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.07s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:43,T0,T1,2.8ft,0.06s
4.19.2026 15:34:43,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.06s
4.19.2026 15:34:44,T0,T1,2.8ft,0.06s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.06s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.07s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:44,T0,T1,2.8ft,0.05s
4.19.2026 15:34:45,T0,T1,2.8ft,0.06s
4.19.2026 15:34:45,T0,T1,2.8ft,0.05s
4.19.2026 15:34:45,T0,T1,2.8ft,0.05s
4.19.2026 15:34:45,T0,T1,2.8ft,0.05s
4.19.2026 15:34:45,T0,T1,2.8ft,0.05s
4.19.2026 15:34:45,T0,T1,2.8ft,0.06s
4.19.2026 15:34:45,T0,T1,2.8ft,0.07s
4.19.2026 15:34:45,T0,T1,2.8ft,0.11s
4.19.2026 15:34:45,T0,T1,2.8ft,0.05s
4.19.2026 15:34:45,T0,T1,2.8ft,0.06s
4.19.2026 15:34:45,T0,T1,2.8ft,0.06s
4.19.2026 15:34:45,T0,T1,2.8ft,0.06s
4.19.2026 15:34:45,T0,T1,2.8ft,0.09s
