Timestamp,Tag1,Tag2,Distance_ft,Delta_s
4.24.2026 20:32:04,T0,T1,5.0ft,0.03s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.0ft,0.05s
4.24.2026 20:32:04,T0,T1,5.1ft,0.06s
4.24.2026 20:32:04,T0,T1,5.4ft,0.05s
4.24.2026 20:32:05,T0,T1,5.7ft,0.05s
4.24.2026 20:32:05,T0,T1,5.5ft,0.05s
4.24.2026 20:32:05,T0,T1,5.3ft,0.05s
4.24.2026 20:32:05,T0,T1,5.2ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.2ft,0.05s
4.24.2026 20:32:05,T0,T1,5.2ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.2ft,0.05s
4.24.2026 20:32:05,T0,T1,5.1ft,0.05s
4.24.2026 20:32:05,T0,T1,5.1ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:05,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:06,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.05s
4.24.2026 20:32:07,T0,T1,5.0ft,0.06s
4.24.2026 20:32:07,T0,T1,4.9ft,0.05s
4.24.2026 20:32:07,T0,T1,4.9ft,0.05s
4.24.2026 20:32:07,T0,T1,4.9ft,0.05s
4.24.2026 20:32:07,T0,T1,4.9ft,0.05s
